4_digit_code_description,"01 Crop and animal production, hunting and related service activities",02 Forestry and logging,03 Fishing and aquaculture,05 Mining of coal and lignite,06 Extraction of crude petroleum and natural gas,07 Mining of metal ores,08 Other mining and quarrying,09 Mining support service activities,10 Manufacture of food products,11 Manufacture of beverages,12 Manufacture of tobacco products,13 Manufacture of textiles,14 Manufacture of wearing apparel,15 Manufacture of leather and related products,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",17 Manufacture of paper and paper products,18 Printing and reproduction of recorded media,19 Manufacture of coke and refined petroleum products,20 Manufacture of chemicals and chemical products,21 Manufacture of basic pharmaceutical products and pharmaceutical preparations,22 Manufacture of rubber and plastic products,23 Manufacture of other non-metallic mineral products,24 Manufacture of basic metals,"25 Manufacture of fabricated metal products, except machinery and equipment","26 Manufacture of computer, electrical and optical products",27 Manufacture of electrical equipment,28 Manufacture of machinery and equipment not otherwise specified,"29 Manufacture of motor vehicles, trailers and semi-trailers",30 Manufacture of other transport equipment,31 Manufacture of furniture,32 Other Manufacturing,33 Repair and installation of machinery and equipment,"35 Electricity, gas, steam and air conditioning supply","36 Water collection, treatment and supply",37 Sewerage,"38 Waste collection, treatment and disposal activities; materials recovery",39 Remediation activities and other waste management services,41 Construction of buildings; 42 Civil engineering; 43 Specialised construction activities,45 Wholesale and retail trade and repair of motor vehicles and motorcycles,"46 Wholesale trade, except of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles",48 Wholesale and retail not otherwise specified,49 Land transport and transport via pipelines,50 Water transport,51 Air transport,52 Warehousing and support activities for transportation,53 Postal and courier activities,55 Accommodation,56 Food and beverage service activities,58 Publishing activities,"59 Motion picture, video and television production, sound recording and music publishing activities",60 Programming and broadcasting activities,61 Telecommunications,"62 Computer programming, consultancy and related activities",63 Information service activities,"64 Financial service activities, except insurance and pension funding","65 Insurance, reinsurance and pension funding, except compulsory social security",66 Activities auxiliary to financial services and insurance activities,68 Real estate activities,69 Legal and accounting activities,70 Activities of head offices; management consultancy activities,71 Architectural and engineering activities; technical testing and analysis,72 Scientific research and development,73 Advertising and market research,"74 Other professional, scientific and technical activities",75 Veterinary activities,77 Rental and leasing activities,78 Employment activities,"79 Travel agency, tour operator and other reservation service and related activities",80 Security and investigation activities,81 Services to buildings and landscape activities,"82 Office administrative, office support and other business support activities",84 Public administration and defence; compulsory social security,85 Education,86 Human health activities,87 Residential care activities,88 Social work activities without accommodation,"90 Creative, arts and entertainment activities","91 Libraries, archives, museums and other cultural activities",92 Gambling and betting activities,93 Sports activities and amusement and recreation activities,94 Activities of membership organisations,95 Repair of computers and personal and household goods,96 Other personal service activities,97 Activities of households as employers of domestic personnel,98 Undifferentiated goods- and services-producing activities of private households for own use,99 Activities of extraterritorial organisations and bodies
1111 Chief executives and senior officials,418,26,14,18,303,42,61,33,596,349,15,132,269,41,51,72,313,78,311,"1,126",226,109,165,349,701,183,293,447,568,156,"1,836",102,932,147,17,226,17,"4,203",684,"3,085","6,115",518,733,213,230,724,204,632,"1,598","1,006","1,301",419,"1,264","13,718",317,"12,017","2,467","5,693","2,972","1,833","4,958","1,969","1,827","3,783",865,95,299,"1,396",941,565,667,"1,077","6,900","6,222","3,627",615,"6,259","1,707",329,212,"1,616","2,134",59,678,18,0,"1,025"
1112 Elected officers and representatives,5,0,0,0,1,0,2,0,4,0,0,2,1,1,1,1,3,0,1,2,3,5,4,3,3,0,2,8,0,2,5,1,3,8,0,7,0,188,4,6,43,3,25,1,0,7,5,5,20,3,0,0,3,30,2,13,8,13,21,44,15,49,19,4,0,0,1,18,3,5,27,8,"5,304",71,270,3,80,17,13,1,13,344,1,6,0,0,15
1121 Production managers and directors in manufacturing,"1,689",39,44,37,535,7,255,42,"19,560","4,421",231,"5,212","4,538","1,006","2,545","1,843","11,152",538,"5,499","6,455","9,382","4,641","5,520","15,907","8,861","3,698","8,650","12,533","6,854","6,996","30,519","3,790","1,569",534,104,"1,151",71,"8,646","2,507","6,714","6,225",543,"1,882",168,238,"1,593",614,552,"2,367",520,634,465,"1,670","5,149",353,"1,845",788,"1,115","2,061","1,202","2,183","8,185","1,033","1,232","1,816",158,594,881,574,735,"1,887","2,403","7,836","3,664","4,442",509,"2,019",919,246,293,"1,494",567,575,"1,519",28,0,33
1122 Production managers and directors in construction,286,20,11,10,109,0,63,5,366,59,4,56,18,6,85,35,116,31,142,98,190,162,128,325,133,77,200,180,157,119,452,202,690,389,150,608,206,"266,716",566,"1,205","1,465",216,958,25,32,616,170,529,929,38,101,37,322,727,52,366,146,387,"2,382",235,355,"3,782",142,192,376,25,214,292,134,353,"1,492",330,"2,882","3,190","1,162",249,426,241,209,67,566,355,136,278,99,0,5
1123 Production managers and directors in mining and energy,44,0,2,28,868,22,980,148,29,11,3,1,2,2,2,6,3,73,44,8,12,40,32,28,17,14,38,10,19,6,41,24,"8,455","4,392",55,230,14,623,40,191,143,19,80,7,3,41,13,11,48,4,3,8,39,95,8,58,31,35,126,36,78,455,37,22,51,3,28,27,11,7,65,50,307,84,76,16,39,15,4,11,28,11,6,28,0,0,6
1131 Financial managers and directors,692,33,20,14,336,38,94,45,"1,656",592,156,258,212,59,137,224,699,96,497,"1,468",563,235,405,941,947,345,794,"1,066",742,384,"3,195",279,"1,791",585,57,661,58,"10,985","2,304","7,429","11,384",537,"2,383",244,417,"1,936","4,780","1,278","3,203","1,067",940,511,"2,977","9,383",344,"78,545","23,688","39,269","6,404","39,558","6,299","3,710","1,406","3,424","1,166",254,886,"2,391","1,381",675,"1,895","2,489","14,232","12,128","9,473","1,348","6,175","1,349",853,467,"1,724","2,046",96,823,33,0,138
"1132 Marketing, sales and advertising directors",397,22,14,4,130,10,38,11,"1,212",894,49,248,311,116,106,179,"1,130",56,491,"1,302",465,196,248,602,"1,505",443,725,744,466,389,"3,152",161,916,293,31,394,23,"6,722","1,810","8,674","9,972","4,719","1,010",155,188,"2,019",414,"1,095","1,816","2,728","1,036",684,"2,758","16,531",669,"3,754","1,876","3,502","2,916","1,906","5,610","2,084","1,002","42,851","1,406",130,604,"1,807","1,645",801,"1,056","2,091","2,503","4,321","2,039",261,"1,810","1,227",360,330,"1,368",807,78,668,6,0,34
1133 Public relations and communications directors,22,0,2,2,12,1,5,2,29,37,8,2,20,2,0,3,6,3,23,181,11,3,16,9,295,6,10,51,39,9,73,2,112,32,1,23,2,207,30,102,419,11,107,4,24,56,27,41,113,129,68,110,339,536,58,338,181,305,238,217,"9,370",155,213,366,66,6,10,65,97,28,46,105,"1,478",796,657,37,675,175,97,34,195,578,4,39,0,0,32
1134 Purchasing managers and directors,119,4,4,3,120,0,16,6,836,146,31,83,76,21,52,69,167,48,259,618,299,81,171,380,381,218,411,725,765,177,"1,430",87,520,203,5,174,6,"3,562",394,"3,179","3,966",93,535,50,95,335,143,181,504,122,41,88,489,979,24,848,366,303,539,256,427,529,213,192,152,34,146,123,197,82,334,250,"4,180",882,"2,125",99,471,90,56,33,153,70,25,92,6,0,22
1135 Charitable organisation managers and directors,26,5,0,0,0,0,1,1,9,4,0,1,4,0,0,2,0,1,1,12,4,2,33,0,9,1,3,9,3,0,13,1,7,8,0,15,0,71,14,34,307,8,16,2,3,17,30,31,57,18,18,9,24,61,6,60,20,318,116,85,106,33,156,49,32,17,4,21,12,7,28,134,340,438,547,263,"9,799",171,195,7,123,"4,708",2,61,0,0,17
