OECD PIPELINE FINAL AUDIT - 2026-03-25 18:00:10.229999
Total Jobs Tagged: 0

   SIC_Code  total_jobs  any_data_intensive_jobs  total_data_share  year  GVA_basic_prices      COMP_EMP  alpha_low  alpha_avg  alpha_sector  total_investment_sector  inv_avg_tot  inv_low_tot  inv_raw_wages  inv_share_gva_sector  inv_share_gva_avg  inv_share_gva_low  inv_share_gva_raw
0         K    0.817139                      0.0               0.0  2020      2.040460e+11  9.903700e+10       1.58       3.62          3.91                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
1         F    0.689735                      0.0               0.0  2020      1.484570e+11  6.050900e+10       1.58       3.62          6.64                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
2       B-E    1.423551                      0.0               0.0  2020      3.378890e+11  1.578710e+11       1.58       3.62          6.45                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
3         J    2.916213                      0.0               0.0  2020      1.522970e+11  1.005670e+11       1.58       3.62          2.97                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
4       G-I    1.010716                      0.0               0.0  2020      4.017280e+11  2.655980e+11       1.58       3.62          2.95                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
5       R-T    0.351404                      0.0               0.0  2020      7.464500e+10  3.972400e+10       1.58       3.62          3.06                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
6         A    0.018484                      0.0               0.0  2020      1.783900e+10  4.840000e+09       1.58       3.62          3.62                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
7       M-N    1.583838                      0.0               0.0  2020      3.404240e+11  2.150430e+11       1.58       3.62          2.79                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
8         L    0.137410                      0.0               0.0  2020      3.468490e+11  2.011400e+10       1.58       3.62          3.62                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
9       O-Q    2.047407                      0.0               0.0  2020      4.732160e+11  3.664750e+11       1.58       3.62          2.07                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
10        K    0.817139                      0.0               0.0  2021      2.040460e+11  9.903700e+10       1.58       3.62          3.91                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
11        F    0.689735                      0.0               0.0  2021      1.484570e+11  6.050900e+10       1.58       3.62          6.64                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
12      B-E    1.423551                      0.0               0.0  2021      3.378890e+11  1.578710e+11       1.58       3.62          6.45                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
13        J    2.916213                      0.0               0.0  2021      1.522970e+11  1.005670e+11       1.58       3.62          2.97                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
14      G-I    1.010716                      0.0               0.0  2021      4.017280e+11  2.655980e+11       1.58       3.62          2.95                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
15      R-T    0.351404                      0.0               0.0  2021      7.464500e+10  3.972400e+10       1.58       3.62          3.06                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
16        A    0.018484                      0.0               0.0  2021      1.783900e+10  4.840000e+09       1.58       3.62          3.62                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
17      M-N    1.583838                      0.0               0.0  2021      3.404240e+11  2.150430e+11       1.58       3.62          2.79                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
18        L    0.137410                      0.0               0.0  2021      3.468490e+11  2.011400e+10       1.58       3.62          3.62                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
19      O-Q    2.047407                      0.0               0.0  2021      4.732160e+11  3.664750e+11       1.58       3.62          2.07                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
20        K    0.817139                      0.0               0.0  2022      2.040460e+11  9.903700e+10       1.58       3.62          3.91                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
21        F    0.689735                      0.0               0.0  2022      1.484570e+11  6.050900e+10       1.58       3.62          6.64                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
22      B-E    1.423551                      0.0               0.0  2022      3.378890e+11  1.578710e+11       1.58       3.62          6.45                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
23        J    2.916213                      0.0               0.0  2022      1.522970e+11  1.005670e+11       1.58       3.62          2.97                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
24      G-I    1.010716                      0.0               0.0  2022      4.017280e+11  2.655980e+11       1.58       3.62          2.95                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
