year,SICSection_Full_name,SIC_Code,GVA_basic_prices,COMP_EMP
2023,Agriculture [A],A,17839,4840
2023,Production [B-E],B-E,337889,157871
2023,Construction [F],F,148457,60509
2023,"Distribution, transport, hotels and restaurants [G-I]",G-I,401728,265598
2023,Information and communication [J],J,152297,100567
2023,Financial and insurance [K],K,204046,99037
2023,Real estate [L],L,346849,20114
2023,Professional and support activities [M-N],M-N,340424,215043
2023,"Government, health & education [O-Q]",O-Q,473216,366475
2023,Other services [R-T],R-T,74645,39724
